STATE CODE,STATE,PC NO,PARLIAMENTARY CONSTITUENCY,Total voters,Total_Electors,POLL PERCENTAGE
S24,Uttar Pradesh,73,Jaunpur,1007235,1848842,54.48
S24,Uttar Pradesh,74,Machhlishahr,997913,1891969,52.74
S24,Uttar Pradesh,75,Ghazipur,986715,1801519,54.77
S24,Uttar Pradesh,76,Chandauli,980654,1593133,61.56
S24,Uttar Pradesh,77,Varanasi,1030812,1766487,58.35
S24,Uttar Pradesh,78,Bhadohi,982154,1834598,53.54
S24,Uttar Pradesh,79,Mirzapur,1007646,1720661,58.56
S24,Uttar Pradesh,80,Robertsganj,885876,1639074,54.05
S25,West Bengal,1,Cooch behar,1332968,1613403,82.62
S25,West Bengal,2,Alipurduars,1225237,1470911,83.3
S25,West Bengal,3,Jalpaiguri,1304280,1531469,85.17
S25,West Bengal,4,Darjeeling,1142696,1437154,79.51
S25,West Bengal,5,Raiganj,1108503,1387526,79.89
S25,West Bengal,6,Balurghat,1063404,1254497,84.77
S25,West Bengal,7,Maldaha Uttar,1163156,1425428,81.6
S25,West Bengal,8,Maldaha Dakshin,1092465,1347143,81.09
S25,West Bengal,9,Jangipur,1119320,1391656,80.43
S25,West Bengal,10,Baharampur,1154702,1453783,79.43
S25,West Bengal,11,Murshidabad,1288578,1512098,85.22
S25,West Bengal,12,Krishnanagar,1248695,1476783,84.56
S25,West Bengal,13,Ranaghat,1353623,1602849,84.45
S25,West Bengal,14,Bangaon,1284297,1540713,83.36
S25,West Bengal,15,Barrackpore,1052600,1287222,81.77
S25,West Bengal,16,Dum dum,1133801,1405981,80.64
S25,West Bengal,17,Barasat,1270164,1512792,83.96
S25,West Bengal,18,Basirhat,1274085,1490596,85.47
S25,West Bengal,19,Joynagar,1189153,1458724,81.52
S25,West Bengal,20,Mathurapur,1271208,1488785,85.39
S25,West Bengal,21,Diamond harbour,1261328,1555914,81.07
S25,West Bengal,22,Jadavpur,1274723,1595746,79.88
S25,West Bengal,23,Kolkata Dakshin,1168467,1685296,69.33
S25,West Bengal,24,Kolkata Uttar,956148,1433985,66.68
S25,West Bengal,25,Howrah,1125728,1505099,74.79
S25,West Bengal,26,Uluberia,1187174,1448632,81.95
S25,West Bengal,27,Srerampur,1291154,1624038,79.5
S25,West Bengal,28,Hooghly,1350939,1630042,82.88
S25,West Bengal,29,Arambagh,1362848,1600293,85.16
S25,West Bengal,30,Tamluk,1338336,1527273,87.63
S25,West Bengal,31,Kanthi,1292373,1490409,86.71
S25,West Bengal,32,Ghatal,1367637,1610489,84.92
S25,West Bengal,33,Jhargram,1257645,1475112,85.26
S25,West Bengal,34,Medinipur,1263095,1499673,84.22
S25,West Bengal,35,Purulia,1206653,1471933,81.98
S25,West Bengal,36,Bankura,1236613,1503812,82.23
S25,West Bengal,37,Bishnupur,1272099,1466921,86.72
S25,West Bengal,38,Bardhaman Purba,1321140,1532244,86.22
S25,West Bengal,39,Burdwan - durgapur,1331732,1583495,84.1
S25,West Bengal,40,Asansol,1142786,1469684,77.76
S25,West Bengal,41,Bolpur,1305063,1538421,84.83
S25,West Bengal,42,Birbhum,1275948,1495089,85.34
S26,Chhattisgarh,1,SARGUJA,1187329,1523022,77.96
S26,Chhattisgarh,2,RAIGARH,1246219,1626949,76.6
S26,Chhattisgarh,3,JANJGIR-CHAMPA,1073367,1744201,61.54
S26,Chhattisgarh,4,KORBA,1052839,1423729,73.95
S26,Chhattisgarh,5,BILASPUR,1090583,1729229,63.07
S26,Chhattisgarh,6,RAJNANDGAON,1178305,1591373,74.04
S26,Chhattisgarh,7,DURG,1259142,1858922,67.74
S26,Chhattisgarh,8,RAIPUR,1250872,1904460,65.68
S26,Chhattisgarh,9,MAHASAMUND,1131254,1516177,74.61
S26,Chhattisgarh,10,BASTAR,769972,1298083,59.32
S26,Chhattisgarh,11,KANKER,1017080,1448375,70.22
S27,Jharkhand,1,Rajmahal,951755,1353467,70.32
S27,Jharkhand,2,Dumka,903062,1273049,70.94
S27,Jharkhand,3,Godda,1049642,1590772,65.98
S27,Jharkhand,4,Chatra,712980,1312562,54.32
S27,Jharkhand,5,Kodarma,1024939,1639645,62.51
S27,Jharkhand,6,Giridih,971242,1511644,64.25
S27,Jharkhand,7,Dhanbad,1143945,1890021,60.53
S27,Jharkhand,8,Ranchi,1049787,1648459,63.68
S27,Jharkhand,9,Jamshedpur,1049164,1581665,66.33
S27,Jharkhand,10,Singhbhum,795352,1152632,69
S27,Jharkhand,11,Khunti,737611,1111856,66.34
S27,Jharkhand,12,Lohardaga,651639,1119144,58.23
S27,Jharkhand,13,Palamau,978159,1645957,59.43
S27,Jharkhand,14,Hazaribagh,967348,1518923,63.69
S28,Uttarakhand,1,Tehri Garhwal,776945,1352614,57.44
S28,Uttarakhand,2,Garhwal,684014,1267218,53.98
S28,Uttarakhand,3,Almora,656934,1253541,52.41
S28,Uttarakhand,4,Nainital-udhamsingh Nagar,1101934,1610811,68.41
S28,Uttarakhand,5,Hardwar,1175734,1642873,71.57
U01,Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,190346,269360,70.67
U02,Chandigarh,1,CHANDIGARH,453462,615214,73.71
U03,Dadra & Nagar Haveli,1,Dadar & Nagar Haveli,165324,196597,84.09
U04,Daman & Diu,1,Daman & diu,87233,111827,78.01
U05,NCT OF Delhi,1,CHANDNI CHOWK                 ,982275,1447230,67.87
U05,NCT OF Delhi,2,NORTH EAST DELHI              ,1317974,1957708,67.32
U05,NCT OF Delhi,3,EAST DELHI                    ,1196731,1829578,65.41
U05,NCT OF Delhi,4,NEW DELHI                     ,970169,1490147,65.11
U05,NCT OF Delhi,5,NORTH WEST DELHI              ,1356404,2194343,61.81
U05,NCT OF Delhi,6,WEST DELHI                    ,1348744,2039410,66.13
U05,NCT OF Delhi,7,SOUTH DELHI                   ,1102849,1752748,62.92
U06,Lakshadweep,1,Lakshadweep,43242,49922,86.62
U07,Puducherry,1,Puducherry,740053,901357,82.1
